country_region_code,original_name,corrected_name
FR,Alpes-de-Haute Provence,Alpes-de-Haute-Provence
FR,Alpes (Haute),Hautes-Alpes
FR,Bouches du Rhône,Bouches-du-Rhône
FR,Côte d'Or,Côte-d'Or
FR,Garonne (Haute),Haute-Garonne
FR,Ille et Vilaine,Ille-et-Vilaine
FR,Indre et Loire,Indre-et-Loire
FR,Loir et Cher,Loir-et-Cher
FR,Loire (Haute),Haute-Loire
FR,Loire Atlantique,Loire-Atlantique
FR,Lot et Garonne,Lot-et-Garonne
FR,Maine et Loire,Maine-et-Loire
FR,Marne (Haute),Haute-Marne
FR,Meurthe et Moselle,Meurthe-et-Moselle
FR,Pas de Calais,Pas-de-Calais
FR,Puy de Dôme,Puy-de-Dôme
FR,Pyrénées Atlantiques,Pyrénées-Atlantiques
FR,Pyrénées (Hautes),Hautes-Pyrénées
FR,Pyrénées Orientales,Pyrénées-Orientales
FR,Rhin (Bas),Bas-Rhin
FR,Rhin (Haut),Haut-Rhin
FR,Saône (Haute),Haute-Saône
FR,Saône et Loire,Saône-et-Loire
FR,Savoie Haute,Haute-Savoie
FR,Seine et Marne,Seine-et-Marne
FR,Sèvres (Deux),Deux-Sèvres
FR,Toubs,Doubs
FR,Tarne,Tarn
FR,Tarne et Garonne,Tarn-et-Garonne
FR,Vienne (Haute),Haute-Vienne
FR,Yveline,Yvelines
FR,Belford (Territoire de),Territoire de Belfort
FR,Hauts de Seine,Hauts-de-Seine
FR,Seine Saint Denis,Seine-Saint-Denis
FR,Val de Marne,Val-de-Marne
FR,Val d'Oise,Val-d'Oise
FR,La Vendée,Vendée
